scenario_id,mode,family,tilt,albedo,pitch_m,row_strip_m,clear_gap_m,rows,modules_per_row,modules,pv_kwp,modules_per_m2,kwp_per_m2,specific_yield_kwh_kwp,annual_mwh,site_yield_kwh_m2
vertical_equal_pitch_a0.2_p3.000000,equal_pitch,vertical,90,0.2,3.0,0.5,2.5,32,40,1280,640.0,0.128,0.064,1168.469522249009,747.8204942393658,74.78204942393658
vertical_equal_pitch_a0.2_p4.000000,equal_pitch,vertical,90,0.2,4.0,0.5,3.5,24,40,960,480.0,0.096,0.048,1232.2804662835522,591.4946238161051,59.149462381610505
vertical_equal_pitch_a0.2_p5.000000,equal_pitch,vertical,90,0.2,5.0,0.5,4.5,19,40,760,380.0,0.076,0.038,1269.9337423273305,482.57482208438563,48.25748220843856
vertical_equal_pitch_a0.2_p6.000000,equal_pitch,vertical,90,0.2,6.0,0.5,5.5,16,40,640,320.0,0.064,0.032,1292.0137768806921,413.4444086018215,41.34444086018215
vertical_equal_clear_gap_a0.2_p1.300000,equal_clear_gap,vertical,90,0.2,1.3,0.5,0.8,72,40,2880,1440.0,0.288,0.144,873.9691612230237,1258.5155921611542,125.8515592161154
vertical_equal_clear_gap_a0.2_p1.500000,equal_clear_gap,vertical,90,0.2,1.5,0.5,1.0,63,40,2520,1260.0,0.252,0.126,934.1261188390014,1176.9989097371417,117.69989097371418
vertical_equal_clear_gap_a0.2_p2.000000,equal_clear_gap,vertical,90,0.2,2.0,0.5,1.5,47,40,1880,940.0,0.188,0.094,1044.080459567758,981.4356319936925,98.14356319936925
vertical_equal_clear_gap_a0.2_p2.500000,equal_clear_gap,vertical,90,0.2,2.5,0.5,2.0,38,40,1520,760.0,0.152,0.076,1119.2320903687296,850.6163886802344,85.06163886802345
vertical_equal_clear_gap_a0.2_p3.500000,equal_clear_gap,vertical,90,0.2,3.5,0.5,3.0,27,40,1080,540.0,0.108,0.054,1204.4218754727121,650.3878127552646,65.03878127552646
vertical_equal_clear_gap_a0.2_p4.500000,equal_clear_gap,vertical,90,0.2,4.5,0.5,4.0,21,40,840,420.0,0.084,0.042,1253.8931642824095,526.635128998612,52.6635128998612
vertical_equal_pitch_a0.6_p1.500000,equal_pitch,vertical,90,0.6,1.5,0.5,1.0,63,40,2520,1260.0,0.252,0.126,1094.1177291794024,1378.588338766047,137.8588338766047
vertical_equal_pitch_a0.6_p2.000000,equal_pitch,vertical,90,0.6,2.0,0.5,1.5,47,40,1880,940.0,0.188,0.094,1250.0831233910922,1175.0781359876266,117.50781359876267
vertical_equal_pitch_a0.6_p2.500000,equal_pitch,vertical,90,0.6,2.5,0.5,2.0,38,40,1520,760.0,0.152,0.076,1360.1315241320524,1033.69995834036,103.36999583403598
vertical_equal_pitch_a0.6_p3.000000,equal_pitch,vertical,90,0.6,3.0,0.5,2.5,32,40,1280,640.0,0.128,0.064,1436.7544349076834,919.5228383409174,91.95228383409174
vertical_equal_pitch_a0.6_p4.000000,equal_pitch,vertical,90,0.6,4.0,0.5,3.5,24,40,960,480.0,0.096,0.048,1538.8680174704714,738.6566483858263,73.86566483858263
vertical_equal_pitch_a0.6_p5.000000,equal_pitch,vertical,90,0.6,5.0,0.5,4.5,19,40,760,380.0,0.076,0.038,1601.7196068435596,608.6534506005526,60.86534506005526
vertical_equal_pitch_a0.6_p6.000000,equal_pitch,vertical,90,0.6,6.0,0.5,5.5,16,40,640,320.0,0.064,0.032,1641.521507862606,525.286882516034,52.5286882516034
vertical_equal_clear_gap_a0.6_p1.300000,equal_clear_gap,vertical,90,0.6,1.3,0.5,0.8,72,40,2880,1440.0,0.288,0.144,1011.9923504441351,1457.2689846395544,145.72689846395545
vertical_equal_clear_gap_a0.6_p1.500000,equal_clear_gap,vertical,90,0.6,1.5,0.5,1.0,63,40,2520,1260.0,0.252,0.126,1094.1177291794024,1378.588338766047,137.8588338766047
vertical_equal_clear_gap_a0.6_p2.000000,equal_clear_gap,vertical,90,0.6,2.0,0.5,1.5,47,40,1880,940.0,0.188,0.094,1250.0831233910922,1175.0781359876266,117.50781359876267
vertical_equal_clear_gap_a0.6_p2.500000,equal_clear_gap,vertical,90,0.6,2.5,0.5,2.0,38,40,1520,760.0,0.152,0.076,1360.1315241320524,1033.69995834036,103.36999583403598
vertical_equal_clear_gap_a0.6_p3.500000,equal_clear_gap,vertical,90,0.6,3.5,0.5,3.0,27,40,1080,540.0,0.108,0.054,1494.0660643342237,806.7956747404809,80.67956747404808
vertical_equal_clear_gap_a0.6_p4.500000,equal_clear_gap,vertical,90,0.6,4.5,0.5,4.0,21,40,840,420.0,0.084,0.042,1574.2548626124383,661.187042297224,66.11870422972241
