family,wind,seed,modules,front_hits,rear_hits,ground_hits,escape,injected_mass_g,front_g_m2,rear_g_m2,ground_g,elapsed_seconds
vertical,calm,101,1520,0,0,500000,0,35.99999999999999,0.0,0.0,35.99999999999999,0.0018419999396428466
vertical,calm,102,1520,0,0,500000,0,35.99999999999999,0.0,0.0,35.99999999999999,0.0019923000363633037
vertical,calm,103,1520,0,0,500000,0,35.99999999999999,0.0,0.0,35.99999999999999,0.0016834000125527382
vertical,from_east,101,1520,177971,0,42314,279715,179.99999999999997,0.017417779469334486,0.0,15.233039999999999,0.0016611000755801797
vertical,from_east,102,1520,177895,0,42141,279964,179.99999999999997,0.01741034145280556,0.0,15.170759999999998,0.001613300060853362
vertical,from_east,103,1520,178498,0,42520,278982,179.99999999999997,0.017469356241844272,0.0,15.307199999999998,0.0016394000267609954
vertical,from_west,101,1520,0,177966,41475,280559,179.99999999999997,0.0,0.017417290126141793,14.931,0.0017692999681457877
vertical,from_west,102,1520,0,177870,41279,280851,179.99999999999997,0.0,0.017407894736842098,14.860439999999999,0.0016590999439358711
vertical,from_west,103,1520,0,178452,41646,279902,179.99999999999997,0.0,0.017464854284471504,14.99256,0.001676600077189505
vertical,from_north,101,1520,0,0,100402,399598,179.99999999999997,0.0,0.0,36.14472,0.004242499941028655
vertical,from_north,102,1520,0,0,99739,400261,179.99999999999997,0.0,0.0,35.90604,0.003880099975503981
vertical,from_north,103,1520,0,0,100424,399576,179.99999999999997,0.0,0.0,36.15264,0.003922800067812204
vertical,from_south,101,1520,0,0,100402,399598,179.99999999999997,0.0,0.0,36.14472,0.0041649000486359
vertical,from_south,102,1520,0,0,99739,400261,179.99999999999997,0.0,0.0,35.90604,0.0039004000136628747
vertical,from_south,103,1520,0,0,100424,399576,179.99999999999997,0.0,0.0,36.15264,0.005032300017774105
tilted,calm,101,1280,133670,0,366330,0,35.99999999999999,0.003106998966942148,0.0,26.375759999999996,0.0016979000065475702
tilted,calm,102,1280,134552,0,365448,0,35.99999999999999,0.003127499999999999,0.0,26.312255999999994,0.001608200022019446
tilted,calm,103,1280,133963,0,366037,0,35.99999999999999,0.0031138094008264453,0.0,26.354663999999996,0.0015873999800533056
tilted,from_east,101,1280,27049,0,88869,384082,179.99999999999997,0.003143607954545454,0.0,31.992839999999998,0.0020644000032916665
tilted,from_east,102,1280,26860,0,88279,384861,179.99999999999997,0.0031216425619834706,0.0,31.78044,0.0022221000399440527
tilted,from_east,103,1280,26601,0,89077,384322,179.99999999999997,0.0030915418388429744,0.0,32.067719999999994,0.002032000105828047
tilted,from_west,101,1280,27049,0,88869,384082,179.99999999999997,0.003143607954545454,0.0,31.992839999999998,0.0021360000828281045
tilted,from_west,102,1280,26860,0,88279,384861,179.99999999999997,0.0031216425619834706,0.0,31.78044,0.0024501000298187137
tilted,from_west,103,1280,26601,0,89077,384322,179.99999999999997,0.0030915418388429744,0.0,32.067719999999994,0.002072800067253411
tilted,from_north,101,1280,0,127709,43640,328651,179.99999999999997,0.0,0.01484221332644628,15.710399999999998,0.0016977000050246716
tilted,from_north,102,1280,0,127776,43058,329166,179.99999999999997,0.0,0.014849999999999997,15.500879999999999,0.0015759000089019537
tilted,from_north,103,1280,0,127827,43521,328652,179.99999999999997,0.0,0.014855927169421485,15.667559999999998,0.001969299977645278
tilted,from_south,101,1280,129318,0,41512,329170,179.99999999999997,0.015029209710743799,0.0,14.94432,0.0021361999679356813
tilted,from_south,102,1280,129438,0,40874,329688,179.99999999999997,0.015043155991735535,0.0,14.71464,0.0018001999706029892
tilted,from_south,103,1280,129453,0,41395,329152,179.99999999999997,0.015044899276859501,0.0,14.902199999999999,0.0022866999497637153
