case_id,tilt,azimuth,albedo,pitch,clearance,bifaciality,module_type,thermal_irradiance,slant_length,along_row,annual_front_poa_kwh_m2,annual_rear_poa_kwh_m2,annual_effective_poa_kwh_m2,specific_yield_kwh_kwp,periodic_area_productivity_kwh_m2,morning_fraction,midday_fraction,evening_fraction,peak_ac_kw_per_kwp,status,clear_gap_m,revision
M01,30,180,0.2,2.9526279441628827,0.3,0.0,monofacial,front only,1.1,2.2,1808.9194097983304,175.22867695198283,1808.9194097983304,1564.401604798113,119.8718637612005,0.1860223717071434,0.6515175760259584,0.16246005226689816,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
M02,30,180,0.4,2.9526279441628827,0.3,0.0,monofacial,front only,1.1,2.2,1817.4994618190622,331.1989378137164,1817.4994618190622,1571.0088772766753,120.37814428658103,0.18602524761919623,0.6512477816965055,0.16272697068429814,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
M03,30,180,0.6,2.9526279441628827,0.3,0.0,monofacial,front only,1.1,2.2,1826.0795138397937,487.1691986754499,1826.0795138397937,1577.5954789575508,120.88284091749576,0.18603014827918463,0.6509764891843643,0.162993362536451,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
M04,30,180,0.8,2.9526279441628827,0.3,0.0,monofacial,front only,1.1,2.2,1834.6595658605252,643.1394595371835,1834.6595658605252,1584.1598968753015,121.38583772336374,0.18603722638762885,0.6507033727731182,0.16325940083925292,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
B05,90,90,0.2,2.5,0.3,0.8,bifacial,front plus rear,1.1,2.2,753.0901041985792,652.3168345711316,1274.9435718554846,1119.2338662146813,101.28813268911142,0.32501431250039786,0.44175025878423885,0.23323542871536326,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
B06,90,90,0.4,2.5,0.3,0.8,bifacial,front plus rear,1.1,2.2,831.9166162056908,731.1433465782434,1416.8312934682856,1240.5651434986842,112.26833877816145,0.3030098532452288,0.474451545027558,0.22253860172721326,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
B07,90,90,0.6,2.5,0.3,0.8,bifacial,front plus rear,1.1,2.2,910.7431282128026,809.969858585355,1558.7190150810864,1360.1367554665308,123.08929913724259,0.28523210046505676,0.5008133734378144,0.2139545260971289,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
B08,90,90,0.8,2.5,0.3,0.8,bifacial,front plus rear,1.1,2.2,989.5696402199143,888.7963705924668,1700.606736693888,1477.8823647763559,133.74501038700052,0.2705509156977207,0.522499581892739,0.20694950240954013,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,2.0,v0.7
