case_id,tilt,azimuth,albedo,pitch,clearance,bifaciality,module_type,thermal_irradiance,slant_length,along_row,annual_front_poa_kwh_m2,annual_rear_poa_kwh_m2,annual_effective_poa_kwh_m2,specific_yield_kwh_kwp,periodic_area_productivity_kwh_m2,morning_fraction,midday_fraction,evening_fraction,peak_ac_kw_per_kwp,status,family
spacing,90,90,0.2,1.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,501.7507158558682,446.1295719303138,858.6543734001191,756.5088932480874,171.15585820092474,0.2731342983438141,0.5224980144581645,0.2043676871980213,0.5802388752344076,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,1.25,0.8,0.8,bifacial,front plus rear,1.1,2.2,569.8251695980972,503.6524776846202,972.7471517457934,856.6977624689084,155.05841854640877,0.2883633170471775,0.4980051762036205,0.213631506749202,0.6821287076376904,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,1.5,0.8,0.8,bifacial,front plus rear,1.1,2.2,623.1003306596609,548.0028616169886,1061.502619953252,934.1261188390014,140.89383391236822,0.3004079881987007,0.478978977257705,0.2206130345435942,0.7158121634912058,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,1.75,0.8,0.8,bifacial,front plus rear,1.1,2.2,664.8208026737079,582.4558477590824,1130.785480880974,994.4510750917134,128.56510343784274,0.3090977886298973,0.4654270431755271,0.2254751681945755,0.7725081991619512,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,2.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,699.6138512550898,610.4640457510498,1187.9850878559296,1044.080459567758,118.1086492723708,0.3157728272119786,0.4553144113304182,0.2289127614576031,0.7917509472375347,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,2.5,0.8,0.8,bifacial,front plus rear,1.1,2.2,753.0889641119757,652.3156944845281,1274.9415196995983,1119.2320903687296,101.28797197907056,0.3250145076242865,0.4417500706526481,0.2332354217230653,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,3.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,788.419639706985,679.5842834299632,1332.0870664509555,1168.469522249009,88.11987347277595,0.3298044825011745,0.4348385549689857,0.2353569625298398,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,3.5,0.8,0.8,bifacial,front plus rear,1.1,2.2,814.6037786810382,699.5080418529832,1374.2102121634246,1204.421875472712,77.85532485279329,0.3328899284599351,0.4303708964871185,0.2367391750529465,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,4.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,835.6001202525894,714.9107644694803,1407.5287318281737,1232.2804662835522,69.69912139612852,0.3351600040475966,0.4270946924181993,0.2377453035342038,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,5.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,864.8352894691026,736.2059239367044,1453.800028618466,1269.9337423273305,57.46306526368011,0.3373889401761999,0.4234911519089901,0.2391199079148099,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.2,6.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,882.807890441498,750.234892177245,1482.995804183294,1292.013776880692,48.7184682081709,0.3372119789364934,0.4223726307728442,0.2404153902906623,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.6,1.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,566.3126040678368,510.69146014228255,974.8657721816628,858.2626834056101,194.17707769357696,0.247100166560152,0.5651711414380213,0.1877286920018266,0.5833206280483682,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.6,1.25,0.8,0.8,bifacial,front plus rear,1.1,2.2,654.4732214931939,588.3005295797168,1125.1136451569676,988.9746902065676,178.99994392879054,0.2580378379218874,0.5467524749329461,0.1952096871451664,0.6854631147982839,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.6,1.5,0.8,0.8,bifacial,front plus rear,1.1,2.2,726.1513078135937,651.0538387709213,1246.9943788303308,1094.1177291794024,165.02529851876358,0.2668188829800044,0.5319817074402472,0.2011994095797485,0.7352761811390424,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.6,1.75,0.8,0.8,bifacial,front plus rear,1.1,2.2,784.3743249606725,702.0093700460469,1345.98182099751,1179.091947029659,152.43593368192103,0.2732244205221135,0.5210613765313256,0.2057142029465609,0.7796636478585194,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.6,2.0,0.8,0.8,bifacial,front plus rear,1.1,2.2,833.5609342317495,744.4111287277095,1429.0898372139172,1250.0831233910922,141.41211803066653,0.2782304654537958,0.5126145860681718,0.2091549484780323,0.8002561933657806,ASSUMED_NOT_FIELD_VALIDATED,vertical
spacing,90,90,0.6,2.5,0.8,0.8,bifacial,front plus rear,1.1,2.2,910.739707952992,809.9664383255446,1558.7128586134277,1360.1315241320524,123.0888257133079,0.285232413723336,0.5008131608700468,0.2139544254066171,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED,vertical
