tmy_month,clean_ac_kwh_kwp,soiled_ac_kwh_kwp,loss_kwh_kwp,rain_mm,scenario,month
2023-01-01 00:00:00+09:00,114.65408514724683,112.41768777930288,2.2363973679439484,0.0,tilted_no_rain,1
2023-02-01 00:00:00+09:00,129.56314560710905,125.59807661853675,3.9650689885723014,0.0,tilted_no_rain,2
2023-03-01 00:00:00+09:00,162.2740323991766,154.15043609348226,8.12359630569437,0.0,tilted_no_rain,3
2023-04-01 00:00:00+09:00,168.7906287476777,157.90410977945322,10.886518968224461,0.0,tilted_no_rain,4
2023-05-01 00:00:00+09:00,134.20623553474692,122.49649339670393,11.70974213804299,0.0,tilted_no_rain,5
2023-06-01 00:00:00+09:00,127.3844287741844,114.2813347398558,13.103094034328617,0.0,tilted_no_rain,6
2023-07-01 00:00:00+09:00,104.31460668429189,91.99733808992106,12.317268594370821,0.0,tilted_no_rain,7
2023-08-01 00:00:00+09:00,121.82723292291752,105.8860664305082,15.941166492409327,0.0,tilted_no_rain,8
2023-09-01 00:00:00+09:00,132.85956859247403,113.86452036709686,18.99504822537717,0.0,tilted_no_rain,9
2023-10-01 00:00:00+09:00,134.32117779001442,113.56697608274943,20.75420170726499,0.0,tilted_no_rain,10
2023-11-01 00:00:00+09:00,113.64242866991444,94.7114592851825,18.93096938473194,0.0,tilted_no_rain,11
2023-12-01 00:00:00+09:00,92.96773079428964,76.41361164814555,16.554119146144092,0.0,tilted_no_rain,12
2023-01-01 00:00:00+09:00,114.65408514724683,112.82602019669821,1.828064950548627,20.0,tilted_periodic_rain,1
2023-02-01 00:00:00+09:00,129.56314560710905,127.01716229595345,2.545983311155598,20.0,tilted_periodic_rain,2
2023-03-01 00:00:00+09:00,162.2740323991766,157.7351212973132,4.53891110186341,20.0,tilted_periodic_rain,3
2023-04-01 00:00:00+09:00,168.7906287476777,163.40556104921404,5.38506769846366,20.0,tilted_periodic_rain,4
2023-05-01 00:00:00+09:00,134.20623553474692,128.68093353910086,5.525301995646051,20.0,tilted_periodic_rain,5
2023-06-01 00:00:00+09:00,127.3844287741844,121.71839394179419,5.666034832390209,20.0,tilted_periodic_rain,6
2023-07-01 00:00:00+09:00,104.31460668429189,99.46943926797181,4.845167416320073,30.0,tilted_periodic_rain,7
2023-08-01 00:00:00+09:00,121.82723292291752,115.99921050114074,5.828022421776773,20.0,tilted_periodic_rain,8
2023-09-01 00:00:00+09:00,132.85956859247403,126.354742546442,6.50482604603204,20.0,tilted_periodic_rain,9
