design_id,profile,case_id,pv_kwp,ess_nominal_kwh,ess_pcs_kw,horizon_years,cost_multiplier,tariff,recovery_fraction,capex_krw,present_total_cost_krw,grid_only_present_cost_krw,npv_saving_vs_grid_krw,cumulative_user_solar_fraction,last_year_user_solar_fraction,minimum_annual_user_solar_fraction,cumulative_battery_user_kwh,discounted_user_load_kwh,net_present_cost_per_discounted_user_kwh,terminal_residual_proxy_krw,planning_pv_area_m2,family,target
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,10,1.0,base_assumed,0.0,31000000.0,48186530.08346405,50731798.484744206,2545268.4012801573,0.6463643776027341,0.6412199335708697,0.6412199335708697,0.0,281843.3249152456,170.96920815121112,0.0,339.3160033431985,Tilted monofacial,0.0
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,10,1.0,base_assumed,0.0,31000000.0,48186530.08346405,50731798.484744206,2545268.4012801573,0.6463643776027341,0.6412199335708697,0.6412199335708697,0.0,281843.3249152456,170.96920815121112,0.0,339.3160033431985,Tilted monofacial,0.5
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,10,1.0,base_assumed,0.0,59250000.0,65104620.28779373,50731798.484744206,-14372821.803049527,0.8567639818817822,0.8393434050505546,0.8393434050505546,49903.06304299901,281843.3249152456,230.99578571666245,0.0,508.97400501479774,Tilted monofacial,0.8
daytime_M01_pv75_e50_p12.5,daytime,M01,75.0,50.0,12.5,10,1.0,base_assumed,0.0,133500000.0,102912753.91102332,50731798.484744206,-52180955.42627913,0.9708555166322738,0.9666328783559348,0.9666328783559348,58488.00377540487,281843.3249152456,365.1417110622389,0.0,1272.4350125369942,Tilted monofacial,0.95
daytime_B07_pv10_e0_p0,daytime,B07,10.0,0.0,0.0,10,1.0,base_assumed,0.0,18105000.0,52833226.22358453,50731798.484744206,-2101427.7388403267,0.3494622497169965,0.3417860639657109,0.3417860639657109,0.0,281843.3249152456,187.45601386682569,0.0,143.65,Vertical bifacial,0.0
daytime_B07_pv20_e0_p0,daytime,B07,20.0,0.0,0.0,10,1.0,base_assumed,0.0,33210000.0,53678862.689523794,50731798.484744206,-2947064.204779588,0.6294533711019461,0.6210384683966355,0.6210384683966355,0.0,281843.3249152456,190.45639170509293,0.0,287.3,Vertical bifacial,0.5
daytime_B07_pv30_e25_p6.25,daytime,B07,30.0,25.0,6.25,10,1.0,base_assumed,0.0,62565000.0,72808023.10773465,50731798.484744206,-22076224.622990444,0.8493147083128187,0.8370342478398821,0.8370342478398821,42090.02006289664,281843.3249152456,258.3280023737624,0.0,430.95,Vertical bifacial,0.8
daytime_B07_pv75_e50_p12.5,daytime,B07,75.0,50.0,12.5,10,1.0,base_assumed,0.0,141787500.0,121701367.2892854,50731798.484744206,-70969568.8045412,0.972562753909668,0.9682436652892084,0.9682436652892084,58128.71437989317,281843.3249152456,431.8050368085985,0.0,1077.375,Vertical bifacial,0.95
