design_id,profile,case_id,pv_kwp,ess_nominal_kwh,ess_pcs_kw,horizon_years,cost_multiplier,tariff,recovery_fraction,capex_krw,present_total_cost_krw,grid_only_present_cost_krw,npv_saving_vs_grid_krw,cumulative_user_solar_fraction,last_year_user_solar_fraction,minimum_annual_user_solar_fraction,cumulative_battery_user_kwh,discounted_user_load_kwh,net_present_cost_per_discounted_user_kwh,terminal_residual_proxy_krw,planning_pv_area_m2,family,target
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,10,1.0,base_assumed,0.0,31000000.0,48695468.77873244,50731798.484744206,2036329.7060117647,0.6385908752168108,0.6333571117383782,0.6333571117383782,0.0,281843.3249152456,172.7749585461209,0.0,229.84000000000003,Tilted monofacial,0.0
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,10,1.0,base_assumed,0.0,31000000.0,48695468.77873244,50731798.484744206,2036329.7060117647,0.6385908752168108,0.6333571117383782,0.6333571117383782,0.0,281843.3249152456,172.7749585461209,0.0,229.84000000000003,Tilted monofacial,0.5
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,10,1.0,base_assumed,0.0,59250000.0,65721477.67599217,50731798.484744206,-14989679.191247962,0.8503161492476438,0.8327176628086025,0.8327176628086025,49787.53400357754,281843.3249152456,233.18443924742792,0.0,344.76,Tilted monofacial,0.8
daytime_M01_pv75_e50_p12.5,daytime,M01,75.0,50.0,12.5,10,1.0,base_assumed,0.0,133500000.0,104051885.71699232,50731798.484744206,-53320087.23224813,0.9692853615826984,0.9644728394772544,0.9644728394772544,59621.414097519126,281843.3249152456,369.18343107214713,0.0,861.9,Tilted monofacial,0.95
daytime_B07_pv10_e0_p0,daytime,B07,10.0,0.0,0.0,10,1.0,base_assumed,0.0,17884000.0,53974191.11530732,50731798.484744206,-3242392.63056311,0.3236118130260517,0.316501835404828,0.316501835404828,0.0,281843.3249152456,191.504237794307,0.0,114.92000000000002,Vertical bifacial,0.0
daytime_B07_pv20_e0_p0,daytime,B07,20.0,0.0,0.0,10,1.0,base_assumed,0.0,32768000.0,55422100.23301297,50731798.484744206,-4690301.748268761,0.5967210147119236,0.5878249509624972,0.5878249509624972,0.0,281843.3249152456,196.64152148956944,0.0,229.84000000000003,Vertical bifacial,0.5
daytime_B07_pv30_e25_p6.25,daytime,B07,30.0,25.0,6.25,10,1.0,base_assumed,0.0,61902000.0,74718093.54824392,50731798.484744206,-23986295.06349972,0.8249619723565015,0.812279476096178,0.812279476096178,40275.98721635436,281843.3249152456,265.1050670464264,0.0,344.76,Vertical bifacial,0.8
daytime_B07_pv75_e50_p12.5,daytime,B07,75.0,50.0,12.5,10,1.0,base_assumed,0.0,140130000.0,124902551.28163847,50731798.484744206,-74170752.79689427,0.9685853095109388,0.9636677976497492,0.9636677976497492,59194.98590147514,281843.3249152456,443.16306344739047,0.0,861.9,Vertical bifacial,0.95
