design_id,profile,case_id,pv_kwp,ess_nominal_kwh,ess_pcs_kw,horizon_years,cost_multiplier,tariff,recovery_fraction,capex_krw,present_total_cost_krw,grid_only_present_cost_krw,npv_saving_vs_grid_krw,cumulative_user_solar_fraction,last_year_user_solar_fraction,minimum_annual_user_solar_fraction,cumulative_battery_user_kwh,discounted_user_load_kwh,net_present_cost_per_discounted_user_kwh,terminal_residual_proxy_krw,planning_pv_area_m2,minimum_solar_fraction_target,selection,feasible_in_grid
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,3,1.0,base_assumed,0.0,31000000.0,38396351.48833589,17891739.552964043,-20504611.93537185,0.6425973970498019,0.6414749518026511,0.6414749518026511,0.0,99398.55307202243,386.2868251262629,0.0,229.84000000000003,0.5,any,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,3,1.0,base_assumed,0.0,31000000.0,38396351.48833589,17891739.552964043,-20504611.93537185,0.6425973970498019,0.6414749518026511,0.6414749518026511,0.0,99398.55307202243,386.2868251262629,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,3,1.0,base_assumed,0.0,59250000.0,63538700.20133266,17891739.552964043,-45646960.64836861,0.8628311421321535,0.8596511298167079,0.8596511298167079,16029.773718120252,99398.55307202243,639.2316410812704,0.0,344.76,0.8,any,True
daytime_M01_pv75_e0_p0,daytime,M01,75.0,0.0,0.0,3,1.0,base_assumed,0.0,108000000.0,102241877.26068152,17891739.552964043,-84350137.70771746,0.8069758617855948,0.8066843463441498,0.8066843463441498,0.0,99398.55307202243,1028.605287509556,0.0,861.9,0.8,no_ess,True
daytime_M01_pv50_e50_p12.5,daytime,M01,50.0,50.0,12.5,3,1.0,base_assumed,0.0,98500000.0,98626967.54414111,17891739.552964043,-80735227.99117707,0.9549200008342228,0.9537682770375352,0.9537682770375352,19558.577036839728,99398.55307202243,992.2374571456562,0.0,574.6,0.95,any,True
,daytime,,,,,3,1.0,base_assumed,0.0,,,,,,,,,,,,,0.95,no_ess,False
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,4,1.0,base_assumed,0.0,0.0,23296894.8123501,23296894.812346704,-3.3974647521972656e-06,0.0,0.0,0.0,0.0,129427.19340192614,180.00000000002623,0.0,0.0,0.0,any,True
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,4,1.0,base_assumed,0.0,0.0,23296894.8123501,23296894.812346704,-3.3974647521972656e-06,0.0,0.0,0.0,0.0,129427.19340192614,180.00000000002623,0.0,0.0,0.0,no_ess,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,4,1.0,base_assumed,0.0,31000000.0,40053952.60013611,23296894.812346704,-16757057.787789404,0.6420342303106742,0.6403447300932912,0.6403447300932912,0.0,129427.19340192614,309.4709198842909,0.0,229.84000000000003,0.5,any,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,4,1.0,base_assumed,0.0,31000000.0,40053952.60013611,23296894.812346704,-16757057.787789404,0.6420342303106742,0.6403447300932912,0.6403447300932912,0.0,129427.19340192614,309.4709198842909,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,4,1.0,base_assumed,0.0,59250000.0,63826503.441894695,23296894.812346704,-40529608.62954799,0.8611918020411468,0.8562737817681264,0.8562737817681264,21185.90275152209,129427.19340192614,493.1460055978068,0.0,344.76,0.8,any,True
daytime_M01_pv75_e0_p0,daytime,M01,75.0,0.0,0.0,4,1.0,base_assumed,0.0,108000000.0,98315105.89154293,23296894.812346704,-75018211.07919621,0.806829536915328,0.8063905623045274,0.8063905623045274,0.0,129427.19340192614,759.6170735637677,0.0,861.9,0.8,no_ess,True
daytime_M01_pv50_e50_p12.5,daytime,M01,50.0,50.0,12.5,4,1.0,base_assumed,0.0,98500000.0,96910848.16647118,23296894.812346704,-73613953.35412449,0.9543020991473884,0.9524483940868844,0.9524483940868844,26024.35897518369,129427.19340192614,748.7672846734923,0.0,574.6,0.95,any,True
,daytime,,,,,4,1.0,base_assumed,0.0,,,,,,,,,,,,,0.95,no_ess,False
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,5,1.0,base_assumed,0.0,0.0,28444661.726048622,28444661.72604448,-4.14624810218811e-06,0.0,0.0,0.0,0.0,158025.89847802487,180.00000000002626,0.0,0.0,0.0,any,True
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,5,1.0,base_assumed,0.0,0.0,28444661.726048622,28444661.72604448,-4.14624810218811e-06,0.0,0.0,0.0,0.0,158025.89847802487,180.00000000002626,0.0,0.0,0.0,no_ess,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,5,1.0,base_assumed,0.0,31000000.0,41645395.15119641,28444661.72604448,-13200733.425151931,0.6414681281752888,0.639203719633747,0.639203719633747,0.0,158025.89847802487,263.53525309642606,0.0,229.84000000000003,0.5,any,True
daytime_M01_pv20_e0_p0,daytime,M01,20.0,0.0,0.0,5,1.0,base_assumed,0.0,31000000.0,41645395.15119641,28444661.72604448,-13200733.425151931,0.6414681281752888,0.639203719633747,0.639203719633747,0.0,158025.89847802487,263.53525309642606,0.0,229.84000000000003,0.5,no_ess,True
daytime_M01_pv30_e25_p6.25,daytime,M01,30.0,25.0,6.25,5,1.0,base_assumed,0.0,59250000.0,64124304.40425692,28444661.72604448,-35679642.678212434,0.8595057812947257,0.8527616983090415,0.8527616983090415,26240.061878586468,158025.89847802487,405.78351410654415,0.0,344.76,0.8,any,True
daytime_M01_pv75_e0_p0,daytime,M01,75.0,0.0,0.0,5,1.0,base_assumed,0.0,108000000.0,94611833.04963286,28444661.72604448,-66167171.32358839,0.8066829559917019,0.8060966322971979,0.8060966322971979,0.0,158025.89847802487,598.7109325803935,0.0,861.9,0.8,no_ess,True
daytime_M01_pv50_e50_p12.5,daytime,M01,50.0,50.0,12.5,5,1.0,base_assumed,0.0,98500000.0,95303960.3345025,28444661.72604448,-66859298.60845803,0.9536565062375212,0.9510741345980528,0.9510741345980528,32458.407096819472,158025.89847802487,603.090767098252,0.0,574.6,0.95,any,True
,daytime,,,,,5,1.0,base_assumed,0.0,,,,,,,,,,,,,0.95,no_ess,False
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,6,1.0,base_assumed,0.0,0.0,33347296.88195198,33347296.881947123,-4.857778549194336e-06,0.0,0.0,0.0,0.0,185262.76045526177,180.00000000002623,0.0,0.0,0.0,any,True
daytime_M01_pv0_e0_p0,daytime,M01,0.0,0.0,0.0,6,1.0,base_assumed,0.0,0.0,33347296.88195198,33347296.881947123,-4.857778549194336e-06,0.0,0.0,0.0,0.0,185262.76045526177,180.00000000002623,0.0,0.0,0.0,no_ess,True
