case_id,tilt,azimuth,albedo,pitch,clearance,bifaciality,module_type,thermal_irradiance,slant_length,along_row,annual_front_poa_kwh_m2,annual_rear_poa_kwh_m2,annual_effective_poa_kwh_m2,specific_yield_kwh_kwp,periodic_area_productivity_kwh_m2,morning_fraction,midday_fraction,evening_fraction,peak_ac_kw_per_kwp,status
M01,30,180,0.2,2,0.8,0.0,monofacial,front only,1.1,2.2,1781.0973384871977,115.16073107941448,1781.0973384871977,1540.4395171986987,174.25786393650438,0.1826913494813927,0.6568533843565534,0.1604552661620538,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED
M02,30,180,0.4,2,0.8,0.0,monofacial,front only,1.1,2.2,1786.0407484405218,213.2782826202276,1786.0407484405218,1544.2906380053632,174.69351108657955,0.1827238622009613,0.6566213078922943,0.1606548299067442,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED
M03,30,180,0.6,2,0.8,0.0,monofacial,front only,1.1,2.2,1790.9841583938455,311.3958341610407,1790.9841583938455,1548.1329678458414,175.12816378346622,0.1827570934858722,0.6563887690092531,0.1608541375048745,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED
M04,30,180,0.8,2,0.8,0.0,monofacial,front only,1.1,2.2,1795.9275683471694,409.5133857018538,1795.9275683471694,1551.9695465668124,175.56216590122312,0.1827906807357819,0.6561564404469857,0.1610528788172323,0.8333333333333334,ASSUMED_NOT_FIELD_VALIDATED
B05,90,90,0.2,2,0.8,0.8,bifacial,front plus rear,1.1,2.2,699.6138512550898,610.4640457510498,1187.9850878559296,1044.080459567758,118.1086492723708,0.3157728272119786,0.4553144113304182,0.2289127614576031,0.7917509472375347,ASSUMED_NOT_FIELD_VALIDATED
B06,90,90,0.4,2,0.8,0.8,bifacial,front plus rear,1.1,2.2,766.5873927434196,677.4375872393797,1308.5374625349236,1147.7628541571344,129.8374269408523,0.2951613531457989,0.4867983356574293,0.2180403111967718,0.7948175874807824,ASSUMED_NOT_FIELD_VALIDATED
B07,90,90,0.6,2,0.8,0.8,bifacial,front plus rear,1.1,2.2,833.5609342317495,744.4111287277095,1429.0898372139172,1250.0831233910922,141.41211803066653,0.2782304654537958,0.5126145860681718,0.2091549484780323,0.8002561933657806,ASSUMED_NOT_FIELD_VALIDATED
B08,90,90,0.8,2,0.8,0.8,bifacial,front plus rear,1.1,2.2,900.5344757200795,811.3846702160395,1549.6422118929113,1351.0470680337023,152.83337873684417,0.2640910887593844,0.5341327613049379,0.2017761499356776,0.8103987224642735,ASSUMED_NOT_FIELD_VALIDATED
