case_id,label,scenario,days,fingerprint,audit_errors
P4,포장반 2개,61002,64.3740384073584,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P4,포장반 2개,61003,46.2547535470757,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P4,포장반 2개,61004,51.34221686225263,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
P4,포장반 2개,61005,58.295579653817036,24aa6ea575ba0a32a01d1172dfa7580bb10b4cb31e9cc3a0ce0d65ed04f2e1ab,0
P4,포장반 2개,61006,60.35723770416689,5f735e60b3ec4bd2594d2ed4b814e698f6f7e053123c77bd49af8c9030cfb155,0
P4,포장반 2개,61007,39.146417236923256,98cecd5ecfff55bab4b3e489e94c2c9553cd346c585e09b3a15659ea78581f92,0
P5,평떼 2개 조 / 10명,deterministic,50.16020695691341,46785efe8415be54fe933f8094cc4cd2959279a5d6286224cfee8517ac21fc93,0
P5,평떼 2개 조 / 10명,61000,64.29640546221549,b002766a93fa14c65ec0e92a679620ac6601388c8b8f32ccaecfc92b197cf95b,0
P5,평떼 2개 조 / 10명,61001,60.26358310268888,0f6d1536e16caf8244d0464ead99655ddac668ddd784a225b89f2aa5154d0ee6,0
P5,평떼 2개 조 / 10명,61002,65.02785338107005,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P5,평떼 2개 조 / 10명,61003,50.011886983140194,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P5,평떼 2개 조 / 10명,61004,52.04574168874976,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
P5,평떼 2개 조 / 10명,61005,59.05744273894135,24aa6ea575ba0a32a01d1172dfa7580bb10b4cb31e9cc3a0ce0d65ed04f2e1ab,0
P5,평떼 2개 조 / 10명,61006,65.05325242258435,5f735e60b3ec4bd2594d2ed4b814e698f6f7e053123c77bd49af8c9030cfb155,0
P5,평떼 2개 조 / 10명,61007,42.304262864591685,98cecd5ecfff55bab4b3e489e94c2c9553cd346c585e09b3a15659ea78581f92,0
P6,평떼 3개 조 / 15명,deterministic,46.247077542331304,46785efe8415be54fe933f8094cc4cd2959279a5d6286224cfee8517ac21fc93,0
P6,평떼 3개 조 / 15명,61000,63.02396075671236,b002766a93fa14c65ec0e92a679620ac6601388c8b8f32ccaecfc92b197cf95b,0
P6,평떼 3개 조 / 15명,61001,58.36285404436608,0f6d1536e16caf8244d0464ead99655ddac668ddd784a225b89f2aa5154d0ee6,0
P6,평떼 3개 조 / 15명,61002,63.22579867827943,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P6,평떼 3개 조 / 15명,61003,46.316143202618925,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P6,평떼 3개 조 / 15명,61004,50.34612659261901,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
P6,평떼 3개 조 / 15명,61005,57.158088444310465,24aa6ea575ba0a32a01d1172dfa7580bb10b4cb31e9cc3a0ce0d65ed04f2e1ab,0
P6,평떼 3개 조 / 15명,61006,60.10405328436699,5f735e60b3ec4bd2594d2ed4b814e698f6f7e053123c77bd49af8c9030cfb155,0
P6,평떼 3개 조 / 15명,61007,39.163927956880656,98cecd5ecfff55bab4b3e489e94c2c9553cd346c585e09b3a15659ea78581f92,0
P7,복수 작업반·굴삭기 2대,deterministic,35.249132326518186,46785efe8415be54fe933f8094cc4cd2959279a5d6286224cfee8517ac21fc93,0
P7,복수 작업반·굴삭기 2대,61000,45.211580440005456,b002766a93fa14c65ec0e92a679620ac6601388c8b8f32ccaecfc92b197cf95b,0
P7,복수 작업반·굴삭기 2대,61001,44.120064535291625,0f6d1536e16caf8244d0464ead99655ddac668ddd784a225b89f2aa5154d0ee6,0
P7,복수 작업반·굴삭기 2대,61002,46.00507383019458,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P7,복수 작업반·굴삭기 2대,61003,36.1001324953503,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P7,복수 작업반·굴삭기 2대,61004,36.050311996327764,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
