object_id,ifc_guid,category,ifc_class,predefined_type,effective_type,object_type,old_schedule_zone,proposed_zones,quantity_role
P2_Y04-024,3EjK6IReLIqee0389T0RiS,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,A,A,INDIVIDUAL_PLANT_COUNT
P2_Y04-025,0ld97vuUjNqfxU89NDzJYC,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,A,A,INDIVIDUAL_PLANT_COUNT
P2_Y04-026,1B_7v0fQDL_eLewYpD3tcj,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,A,A,INDIVIDUAL_PLANT_COUNT
P2_Y05-001,0ZPSUhGmPMIudE7R8_GL_L,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,D,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-002,22pnxWVNbMRuTUu0s8Ju5R,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,D,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-003,0fONKxQ49V$Aex60nCOkZ2,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,D,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-004,1pGR17_lLQfB5Dhng8iwoT,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-005,1D5lnKnWXTDBVP2qySqGv0,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-006,1O0jda4YbRFgQGMfI$OWEL,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-007,3UM1qnkubLlhT31RGncCLg,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-008,3PU_XRvK9Qjw_DaqpcA$jW,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-009,0nI6IK7wzJmfh_ezfkphcl,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-010,3nSKUZE6jL28f9dSelLaE_,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-011,3WJL5_TWXSiA4Ld7l3o6kb,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-012,0Dt9b8EV1K0xJ2Prg3Ngih,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-013,3e09vQxibUqvML_82cDGu_,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-014,2tBDQYDoDLWhZPYWzXywsr,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-015,0pBJHhvLPJoxHa5XOCA2Ig,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-016,3ZKaHgWUrKGv9MTIMhEPQW,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-017,3fcLH6agDMXQPNZ7FJAJRb,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-018,2u7Y7cJeTGt9L_Tben6QhV,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-019,3_puH7FpTTFuG_5qU1BM5I,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-020,3u8OqC_5jK2xza4MoOIPbS,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-021,2Qmyd5yI1PrhwwBi2TCVRO,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-022,3l7096eBPG3hMmb5xUCVPN,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-023,1Yxig0mVXOTgwwJ2EkaXsU,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-024,13D3MjA$1Qffje1Cm8iEfR,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-025,3Tqb34$x1JEPiYpqmuTJTt,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-026,07aXnrCvrORwKh8ZTb6QTH,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-027,2P3TeYJXLQrePyG1iAR7sf,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-028,3FiIGnQZLM49W8b6lmwsNn,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-029,0_DoRG62rJ8v$6tcBCUnG1,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-030,32WmS1wIjSzvFV9j2zXe5M,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-031,1X8sDXN7TL5hElMgbb6SQj,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-032,1JBJ$CL4HJTfr_ieTYIgHe,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-033,2KCFH38IbOOw4J0v0p8stq,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-034,18XPcFJw5QS9t994ykkanS,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-035,0mLhjF4PTO2PpeN17M_tkR,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-036,1DTxx2vZ1TBQ60HPkPaUiE,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-037,0HhNQN3dzU9giGliwsED4O,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-038,0kqPkEbfTQ2AlGqvLboRUX,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-039,1NSY5$sCzNGRsbkGTn8VUX,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-040,2Ty8LlMcnJGhojPT1OKsxH,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-041,1VsfqHxaTTu8c_bzHG_oCw,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-042,1eAJARv9jNNOoA0mdqLyDp,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-043,0udROiGCLNeh4$2N$oyiXz,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-044,1mSEqAolHQog3Up$NIirSw,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-045,0iZTr0EQ1K5B631ba9Nif_,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-046,0zr12AOhLLX9hRzf_z7WWP,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-047,25W_jDA21RaeK1rJM5MQ92,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_Y05-048,1NpaDk49rKAwaq$6SOMJ21,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-001,2JyKjlBSXOcO5cuCq3dnkQ,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,D,B,INDIVIDUAL_PLANT_COUNT
P2_S01-002,0Rtiubi8XK2O80exATHVbN,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,D,B,INDIVIDUAL_PLANT_COUNT
P2_S01-003,0EjZLAGHPLuBanm2d6ONIz,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-004,0Tr1YU8YfINPwtuA2wc7ao,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-005,28lJOQOb5QAxtJA6WBQpHv,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-006,3vg1su2VbG5wkhqCQBFr$r,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-007,1WPKJRgcnM3BUU$ycAq9EX,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-008,0nHaqCWhPU$hCvCDsjRoPP,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-009,2YUm$$gyLPtvyS0eWHv9dK,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-010,0TIQj$FtDQROvr7OgN8wwQ,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-011,07xtQGU$TIvxTwZYxEXalO,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-012,2UAs43U0rICvA5r7L$zm9x,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-013,2u55pcrwjHLvCvRBv4NMFU,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-014,2VBV2MFcnGHgPMWP4xkn8z,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-015,0LgJPh8ZjUjPilm$xZi3q3,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-016,3u1sIrgcLHrfOfR80BuSMT,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-017,0PrvGfd05UFeXgizTww507,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-018,22KQT2yaPN5eRhvWENenhg,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-019,3IwhVQBk9MW823gZ7Xp$CY,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-020,0oiR5FVbLI59okKRmr2LZe,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-021,1k3vq2apfM5OmF3PU$UxIn,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-022,2nu8_jVDLK0vo_EJ1ps134,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-023,1N$yGTz81Q1uwMeh4tOVL2,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-024,3VZbePGrfOTgmlYQoE2Rlm,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-025,1y3VB3CevTz8IygtmJqRHi,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-026,1KstQXH0fQzxK$QbB1pppp,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-027,3X3Z0w_p1TaRyWgjQViMt5,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-028,2FYAuh69zHAhFbkrHm9WqZ,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-029,26DU4CzHbSYxw9$VjOmmRZ,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-030,0L88Z_7ifTSRZI2W9HMHm$,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-031,3KdQMQ129Q4P80ge69whbF,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-032,2a4FnjjHHTlAjSa76$5xfq,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-033,2lEDhdn1DHZf7vzHVHHbC8,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-034,0uoH0Cp1zGuwC1r8gElsL_,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-035,0e4dPUc2fNXvTpoh5cjjln,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-036,2Z1VHf6GDNrvPHZEydfueO,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-037,09mEGyYCjPIBbDDU19wsYo,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-038,2JOfe3QnvLdwyq4kQaEk0Q,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-039,1t9H3LjfHVieDEcXF36dB1,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-040,0L53HJjN5MJw63nY5wqnlv,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-041,1z0a6zANzQoAcgw5a9S3Bs,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-042,20Fpxahf9NuxIsni8Aq$wV,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-043,2XAgoVYEDK4ug7EFHA0YmH,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-044,3Opvc95JnGgOCPNa6AMUNV,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-045,34xxNlGi5OgxGT31dWjdJo,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-046,1h3DN95PXPtxQzA5NZr3b0,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-047,3Qp8qaV9HMYvqvB$4RMy0f,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-048,33WNHxQCTTTg2pJI5MMrKN,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-049,1Zh6yPy8jQv97guz8Iofvn,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-050,28Zm4LgZPUqQFOzZrLK$pb,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-051,10LF5jwzzV1uf$1WcTx9ra,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-052,3v$y$MoN5HHxszDjCr6IYR,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-053,2CeR922uXUSfxLT6aAVjQH,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-054,1TnIJ5veXPKggSxqBl1MT0,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-055,2HFkph9TTSz9r9LUrRPW$k,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-056,3MDHA4TxnT$BkDTI4S2ZlX,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-057,1EgSKxOw5LAhB5XsrsEBmt,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-058,3TsMtmRKHPJhwmB$DMYpr8,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-059,2zplSe$OLKjhMs022tAZl8,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-060,1B9Uy0i75MV8wN6Hlv7kRF,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-061,0ukMzZOOfPywcelatmMrwL,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-062,0fvQpLxVTPghJr1nkEYom_,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-063,1W4rhFmuXNf85W$Dy7hQjN,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-064,3mafPXPM9HaOjEd8xvSRgz,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-065,1vazRs4pjOFvZZ51F1FfQ8,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-066,0_7BhYE1LIVeWAv4K11hTC,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-067,3Qv5nAWajL9fzw9Bki8IpL,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-068,3dmzGbrhPRRxsSXdCu9knd,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-069,1_05nVKXPKJfrGJ$6IgCEv,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-070,2tIGVJCqDOxg$3tYXI4E40,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-071,2mW7$SpirOrAOWldZMr0pX,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-072,1pbKk27x1OYhR3fB11JOaL,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-073,13CQhCYovNa8j1E8rEpWS8,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-074,2yIwy_S3zSe8QNvHAKi7pc,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-075,32d_IhzfzMzAmtZ96dQ4uN,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-076,2y5D8GnnTQlxYr0iywTy5H,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-077,0bn$RJXejHZ8wEbwj_yQ9i,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-078,0WoCZ3EvDHBxwygrqYa79e,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-079,20H4ELDs9Js9ZM$8CALs5O,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-080,1aQbJ3wLTHFusteLLp1RlU,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-081,0rnXdYcv9Q2gyUxki7hxUw,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-082,2GXotVuYLSAQpYYStpxEJQ,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-083,3EWnouTWHS9R7g__9OIOns,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-084,1rD8lAPdPNefMP47f8Ww57,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-085,0KwAp0M1vNTgFXrhd7QnJN,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-086,31SCB912vGTBExQNOevDIF,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-087,2WGw8jTeLJEO7N5I7YbSkl,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-088,0QxP4g9ILSfhBMp7rERhwI,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-089,0lgE5NSDLPDQoaaV7PPqZo,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-090,1RsirfXYvL7fOpdm3k$$pu,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-091,3zenA0YQTSGwObFdbDI7Xn,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-092,068AhrKvTHLQvq0uOt0CYw,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-093,2oEqAYZILO6ALpPfUzLZlL,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-094,29PiFaCOvILRHIxMpDgjJn,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
P2_S01-095,1CtZQAWSXMzepq2uaBNpR5,SHRUB_INDIVIDUAL,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,INDIVIDUAL_PLANT_COUNT
